epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931206635066441,6.9142492857360836,0.07,0.488
1,6.76613678250994,6.3616858305358885,1.756,5.702
2,6.535544554392497,6.044411049804688,3.006,9.198
3,6.394504865010579,5.786200274200439,3.946,11.808
4,6.20173978805542,5.5434141172790525,5.4,15.462
5,6.016566798800514,5.340276404876709,6.676,18.876
6,5.9289742197309225,5.2197965982055665,7.452,20.346
7,5.8180001349676225,4.974203508911133,9.86,24.584
8,5.668491386231922,4.864158185577392,11.036,26.974
9,5.5631389163789295,4.626234948120117,12.826,30.6
10,5.426972843351818,4.369782903137207,15.632,35.644
11,5.2862420082092285,4.287495143127441,16.964,37.448
12,5.211299442109608,4.109032817993164,18.826,40.752
13,5.128401960645403,4.009934705505371,20.276,42.654
14,5.0591160002208895,3.9382513526916503,21.25,43.74
15,4.971438021886916,3.7856084077453613,23.752,46.9
16,4.902290707542782,3.6390639053344724,25.432,49.894
17,4.804977326166062,3.457742163696289,28.124,53.252
18,4.709909938630604,3.479178041381836,28.14,53.392
19,4.670967874072847,3.3604349935913085,29.694,55.004
20,4.61069377263387,3.2403889820861815,31.72,57.51
21,4.526214554196312,3.1921237800598146,31.812,58.27
22,4.480805555979411,3.2195364556884765,32.5,58.388
23,4.459268411000569,3.0604364501953123,34.998,60.814
24,4.396605219159808,2.9877778617858888,36.168,62.278
25,4.314346222650437,2.9490456022644045,36.6,62.666
26,4.324777784801665,2.8859156137084963,37.726,63.956
27,4.27192421186538,2.8340565426635744,38.744,65.204
28,4.259300913129534,2.743896860961914,40.154,66.506
29,4.167606285640171,2.7333715490722654,40.478,66.552
30,4.195693731307983,2.829081453933716,39.232,64.798
31,4.10918006442842,2.643223860321045,42.53,68.332
32,4.09859908194769,2.64463944190979,41.94,68.228
33,4.0186252026330855,2.5488607000732424,44.084,70.082
34,3.9961959520975747,2.5451408626556398,44.54,70.576
35,3.9895400433313277,2.479154027175903,45.19,70.92
36,3.9529021921611966,2.4558413663482668,45.938,71.924
37,3.9207985741751537,2.47020058052063,45.136,70.896
